file_name,text
apple/apple_healthy/2e7471ae-fd24-4038-9caf-98f4cf2a6946___RS_HL 7437.JPG,a photo of healthy leaf
apple/apple_healthy/b30e7ae6-7ea7-4eaf-8ffa-06b0093c9f75___RS_HL 8030.JPG,a photo of healthy leaf
apple/apple_healthy/2fae96ef-fe0f-4004-bbb7-259c62cde5c3___RS_HL 7953.JPG,a photo of healthy leaf
apple/apple_healthy/e706b363-0bc0-4846-9b56-b7ff2f60e112___RS_HL 5952.JPG,a photo of healthy leaf
apple/apple_healthy/4c501b09-39fc-4c6c-9c50-2200f0ba8b27___RS_HL 8187.JPG,a photo of healthy leaf
apple/apple_healthy/c870969d-cf55-467f-85fe-f9752cb76ec6___RS_HL 6323.JPG,a photo of healthy leaf
apple/apple_healthy/0bff693d-bab0-4438-9dac-e4503e5e83bb___RS_HL 5741.JPG,a photo of healthy leaf
apple/apple_healthy/f09b090f-bff1-4fc9-87ad-1b9e05373698___RS_HL 6035.JPG,a photo of healthy leaf
apple/apple_healthy/3969a6d5-f626-4a6a-bc72-3d38d1cff967___RS_HL 6092.JPG,a photo of healthy leaf
apple/apple_healthy/1ceda3e6-3df1-4a82-a5f5-6c62dbd8ccc3___RS_HL 8072.JPG,a photo of healthy leaf
apple/apple_healthy/4cfa1595-b674-419b-93f7-2a836ff4d1bd___RS_HL 7464.JPG,a photo of healthy leaf
apple/apple_healthy/fca55eaf-abbb-4941-89f7-e3698c1f77f1___RS_HL 8171.JPG,a photo of healthy leaf
apple/apple_healthy/ae8840d7-cde8-4739-817a-9ff6f548c522___RS_HL 8197.JPG,a photo of healthy leaf
apple/apple_healthy/c9ea6277-0581-43dd-91d6-3fddfdf447be___RS_HL 7412.JPG,a photo of healthy leaf
apple/apple_healthy/61cac07b-9d6e-4fac-b60f-410280d94ed1___RS_HL 7455.JPG,a photo of healthy leaf
apple/apple_healthy/801956aa-445e-4bb8-90bb-49dcea55c679___RS_HL 5865.JPG,a photo of healthy leaf
apple/apple_healthy/7f447118-8a9c-4e77-8333-d411d1124c7f___RS_HL 5849.JPG,a photo of healthy leaf
apple/apple_healthy/88aad30d-4d2e-461f-847f-a4d2e9caf035___RS_HL 7967.JPG,a photo of healthy leaf
apple/apple_healthy/514b3065-844b-40c8-8a86-043200a1779e___RS_HL 7721.JPG,a photo of healthy leaf
apple/apple_healthy/281380c3-d61a-442c-8e1a-a8058645ff01___RS_HL 7350.JPG,a photo of healthy leaf
apple/apple_rust_mild/9f7d070e-f51d-4b14-86e4-6f059ea4eca7___FREC_C.Rust 0210.JPG,a photo of rust leaf
apple/apple_rust_mild/7ce07da8-973f-467f-98af-642a1ffbea04___FREC_C.Rust 4334.JPG,a photo of rust leaf
apple/apple_rust_mild/aa87fd23-a302-4e4e-80e7-18a261b17fd5___FREC_C.Rust 9989.JPG,a photo of rust leaf
apple/apple_rust_mild/46b6b57e-9c90-4de7-9fb1-b8b674d51f38___FREC_C.Rust 9857.JPG,a photo of rust leaf
apple/apple_rust_mild/9e83b384-97cc-4b00-a283-cbed301e876a___FREC_C.Rust 4052.JPG,a photo of rust leaf
apple/apple_rust_mild/a5644e1f-cc61-4ecc-a642-a39cb32cf157___FREC_C.Rust 4450.JPG,a photo of rust leaf
apple/apple_rust_mild/3762c9a3-83db-44b7-88be-07c048ad293b___FREC_C.Rust 9945.JPG,a photo of rust leaf
apple/apple_rust_mild/fdaecc2c-c48c-447d-9cdc-5d52efdc979a___FREC_C.Rust 3858.JPG,a photo of rust leaf
