file_name,text
grape/grape_black_rot_mild/b88e508b-a46e-47fe-96b1-050985624390___FAM_B.Rot 3522.JPG,a photo of rot leaf
grape/grape_black_rot_mild/898d52e1-2b6c-476e-a84e-98556999638a___FAM_B.Rot 3204.JPG,a photo of rot leaf
grape/grape_black_rot_mild/61fecacf-f422-43be-964a-d6f3f6e3cac7___FAM_B.Rot 0527.JPG,a photo of rot leaf
grape/grape_black_rot_mild/501a0cbb-28ae-43e1-a17b-81e6a3ac9ce8___FAM_B.Rot 0550.JPG,a photo of rot leaf
grape/grape_black_rot_mild/1e828732-ed86-4741-b9e5-2e7c3785c1ff___FAM_B.Rot 3015.JPG,a photo of rot leaf
grape/grape_black_rot_mild/39022631-41f4-4d41-af30-f025f581ff7d___FAM_B.Rot 3285.JPG,a photo of rot leaf
grape/grape_black_rot_mild/8557739e-484e-42dc-871e-f4373b361024___FAM_B.Rot 0690.JPG,a photo of rot leaf
grape/grape_black_rot_mild/55bd709e-4202-4175-8d60-5302eba8e3d1___FAM_B.Rot 3410.JPG,a photo of rot leaf
grape/grape_black_rot_mild/04bd87b8-f596-4ccc-a9c9-6af129535edc___FAM_B.Rot 0578.JPG,a photo of rot leaf
grape/grape_black_rot_mild/308ebcde-71d3-4ade-ba8c-1447def723a0___FAM_B.Rot 5045.JPG,a photo of rot leaf
grape/grape_black_rot_mild/aef908db-af00-4502-b3d7-bffd1c77b0f5___FAM_B.Rot 5071.JPG,a photo of rot leaf
grape/grape_black_rot_mild/39c13c5a-b1de-4438-8d1a-c92a7405df2c___FAM_B.Rot 0328.JPG,a photo of rot leaf
grape/grape_black_rot_mild/7ca1b9bb-321d-4a9a-a6e7-78e31af1dbe1___FAM_B.Rot 3297.JPG,a photo of rot leaf
grape/grape_black_rot_mild/7d2ddc15-ef09-49e7-95c7-c94d99bfa511___FAM_B.Rot 0437.JPG,a photo of rot leaf
grape/grape_black_rot_mild/b125ecbb-b697-48e1-bc8b-9448131af894___FAM_B.Rot 0435.JPG,a photo of rot leaf
grape/grape_black_rot_mild/b601108c-5427-48f6-b968-8be988eb41d3___FAM_B.Rot 3350.JPG,a photo of rot leaf
grape/grape_black_rot_mild/8c6c9f8b-5f1a-4f35-8481-a9d2cb8d52c6___FAM_B.Rot 0567.JPG,a photo of rot leaf
grape/grape_black_rot_mild/b0789876-5db6-45f3-a8a6-9631017b7312___FAM_B.Rot 0546.JPG,a photo of rot leaf
grape/grape_black_rot_mild/58d4a2f5-625a-41e1-87ec-885441b56cd4___FAM_B.Rot 3533.JPG,a photo of rot leaf
grape/grape_black_rot_mild/45631fc9-ee25-4556-acba-12eab79ec01b___FAM_B.Rot 0708.JPG,a photo of rot leaf
grape/grape_healthy/4b472308-dde6-41b2-943e-707eb5b4b050___Mt.N.V_HL 8942.JPG,a photo of healthy leaf
grape/grape_healthy/bfeeb99b-946a-4edb-b59e-445d682d891d___Mt.N.V_HL 6061.JPG,a photo of healthy leaf
grape/grape_healthy/92fbe3df-dc85-4e06-8109-3a14f5109b29___Mt.N.V_HL 6173.JPG,a photo of healthy leaf
grape/grape_healthy/61a531ba-3d52-4af3-8828-c2dbba4d3b1d___Mt.N.V_HL 8941.JPG,a photo of healthy leaf
grape/grape_healthy/0cd6cdbd-1674-4abb-b734-756da4994cd0___Mt.N.V_HL 6052.JPG,a photo of healthy leaf
grape/grape_healthy/acfa3deb-4d93-4afa-bbfb-94ac8e442545___Mt.N.V_HL 9119.JPG,a photo of healthy leaf
grape/grape_healthy/12331981-d038-4eb0-a1c6-64b27f226cab___Mt.N.V_HL 6106.JPG,a photo of healthy leaf
grape/grape_healthy/7664a68e-5bf7-4ca4-988d-12d9360bb512___Mt.N.V_HL 9095.JPG,a photo of healthy leaf
grape/grape_healthy/73391930-644d-4cee-89cc-cb9c6adf1b4c___Mt.N.V_HL 9036.JPG,a photo of healthy leaf
grape/grape_healthy/0e599f33-3a12-462e-adc1-b47a0d1fc6d8___Mt.N.V_HL 9126.JPG,a photo of healthy leaf
grape/grape_healthy/1725a647-0866-45be-bd9f-e5add660c340___Mt.N.V_HL 9083.JPG,a photo of healthy leaf
grape/grape_healthy/944da534-67c1-4f04-8fa7-1e11492736ed___Mt.N.V_HL 6186.JPG,a photo of healthy leaf
grape/grape_healthy/f02b5708-2cf8-4cee-9a45-10cbf493b2d5___Mt.N.V_HL 9023.JPG,a photo of healthy leaf
grape/grape_healthy/215c8317-c0ca-4b35-9ac2-28e01712e367___Mt.N.V_HL 8914.JPG,a photo of healthy leaf
grape/grape_healthy/103b436c-40f5-40e7-b292-ae1bc619e194___Mt.N.V_HL 6084.JPG,a photo of healthy leaf
grape/grape_healthy/4b112b4d-b429-4c62-9c5f-72d07bc0089f___Mt.N.V_HL 6204.JPG,a photo of healthy leaf
grape/grape_healthy/c0f3b55f-8078-4e91-aba7-9a187eec61d0___Mt.N.V_HL 8987.JPG,a photo of healthy leaf
grape/grape_healthy/c48a4277-3bd4-45c8-be06-8bdc4404f252___Mt.N.V_HL 6137.JPG,a photo of healthy leaf
grape/grape_healthy/b07129a6-b8b0-4715-b76f-f89bd40c6770___Mt.N.V_HL 8994.JPG,a photo of healthy leaf
grape/grape_healthy/da73a76d-506a-4a34-bedd-e79998f3949c___Mt.N.V_HL 8958.JPG,a photo of healthy leaf
grape/grape_black_measles_mild/7bcd5517-4745-49e4-93cf-5935f0ea9e3b___FAM_B.Msls 0896.JPG,a photo of measles leaf
